label,sublabel,description,styles,bgcolor
プラ容器,,,,#bbe400
燃えるごみ,,,,#ea3b13
燃えないごみ,,,,#2dc7aa
ペットボトル、蛍光管,,,,#27a047
白色トレー、アルミ、危険ごみ,,,,#08b925
新聞紙、雑誌・雑紙、牛乳パック,,,,#77ae1f
ダンボール、古着類,,,,#08b925
空ビン,,,,#81d12e
